language,category_size,n,tipo_instancia,algoritmo,replica_id,tiempo_ejecucion,memoria_max_mb,costo_minimo,status
Python,XS,4,uniforme,fuerza_bruta_rec,29,56502.0,0.000213623046875,4.0,ok
Python,XS,4,uniforme,rec_con_memo,29,67612.0,0.00030517578125,4.0,ok
Python,XS,4,uniforme,prog_dinamica,29,62797.0,0.00020599365234375,4.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,30,64039.0,0.000213623046875,10.0,ok
Python,XS,4,uniforme,rec_con_memo,30,64201.0,0.00030517578125,10.0,ok
Python,XS,4,uniforme,prog_dinamica,30,56311.0,0.00020599365234375,10.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,31,54523.0,0.000213623046875,2.0,ok
Python,XS,4,uniforme,rec_con_memo,31,63701.0,0.00030517578125,2.0,ok
Python,XS,4,uniforme,prog_dinamica,31,56906.0,0.00020599365234375,2.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,32,74349.0,0.000213623046875,9.0,ok
Python,XS,4,uniforme,rec_con_memo,32,57111.0,0.00030517578125,9.0,ok
Python,XS,4,uniforme,prog_dinamica,32,55863.0,0.00020599365234375,9.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,33,64656.0,0.000213623046875,2.0,ok
Python,XS,4,uniforme,rec_con_memo,33,68098.0,0.00030517578125,2.0,ok
Python,XS,4,uniforme,prog_dinamica,33,59486.0,0.00020599365234375,2.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,34,61424.0,0.000213623046875,8.0,ok
Python,XS,4,uniforme,rec_con_memo,34,75733.0,0.00030517578125,8.0,ok
Python,XS,4,uniforme,prog_dinamica,34,59994.0,0.00020599365234375,8.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,35,52208.0,0.000213623046875,5.0,ok
Python,XS,4,uniforme,rec_con_memo,35,61088.0,0.00030517578125,5.0,ok
Python,XS,4,uniforme,prog_dinamica,35,46955.0,0.00020599365234375,5.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,36,23516.0,0.000213623046875,4.0,ok
Python,XS,4,uniforme,rec_con_memo,36,22735.0,0.00035858154296875,4.0,ok
Python,XS,4,uniforme,prog_dinamica,36,24695.0,0.00020599365234375,4.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,37,18500.0,0.000213623046875,6.0,ok
Python,XS,4,uniforme,rec_con_memo,37,20695.0,0.00030517578125,6.0,ok
Python,XS,4,uniforme,prog_dinamica,37,21957.0,0.00020599365234375,6.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,38,18610.0,0.000213623046875,2.0,ok
Python,XS,4,uniforme,rec_con_memo,38,19936.0,0.00030517578125,2.0,ok
